38,0,446,0,0,0,0,5,14
-389.2906,-86.66055,purple,55,false
27.5513,-134.2872,blue,50,false
438.9638,-84.53156,green,50,false
796.2507,-77.35915,aqua,50,false
1260.09,-162.205,blue,50,false
1630.508,-100.8345,aqua,50,false
1935.566,-280.5721,purple,50,false
1865.158,-654.1323,green,45,false
1930.673,-936.8651,blue,45,false
1898.29,-1281.854,aqua,45,false
1985.792,-1621.713,green,45,false
1617.803,-1583.324,blue,40,false
1144.957,-1720.255,purple,40,false
714.0289,-1614.61,aqua,40,false
356.9853,-1632.581,blue,40,false
-46.74969,-1725.475,green,40,false
-351.7935,-1551.549,purple,40,false
-454.9774,-1258.708,blue,35,false
-372.1961,-853.9652,aqua,35,false
-337.337,-474.7992,green,35,false
-7.872253,-498.845,blue,28,false
309.849,-491.4059,purple,28,false
642.8425,-501.461,aqua,28,false
1107.548,-480.0332,green,28,false
1461.982,-507.3899,blue,28,false
1513.801,-802.4522,purple,28,false
1476.023,-1026.986,aqua,28,false
1470.165,-1261.189,green,23,false
1139.733,-1236.238,blue,20,false
877.4553,-1267.249,purple,23,false
601.8928,-1251.807,green,23,false
316.6302,-1277.806,aqua,23,false
-39.78247,-1273.784,blue,23,false
19.57825,-1001.829,green,23,false
-8.049744,-786.0854,purple,20,false
735.665,-849.3185,black,350,true
384.1291,-882.0523,yellow,30,false
1099.065,-856.7327,yellow,30,false
478.9701,-881.8104
473.2409,-849.3185
456.7443,-820.7456
431.4701,-799.538
400.4667,-788.2537
367.4735,-788.2537
336.4701,-799.538
311.1959,-820.7456
294.6993,-849.3185
288.9701,-881.8104
294.6993,-914.3024
311.1959,-942.8752
336.4701,-964.0828
367.4735,-975.3672
400.4667,-975.3672
431.4701,-964.0828
456.7443,-942.8752
473.2409,-914.3023
1193.342,-856.9066
1187.613,-824.4147
1171.117,-795.8418
1145.842,-774.6342
1114.839,-763.3499
1081.846,-763.3499
1050.842,-774.6342
1025.568,-795.8418
1009.072,-824.4147
1003.342,-856.9066
1009.072,-889.3986
1025.568,-917.9714
1050.842,-939.179
1081.846,-950.4634
1114.839,-950.4634
1145.842,-939.179
1171.117,-917.9714
1187.613,-889.3985
883.1771,-851.4961
879.8992,-820.3093
870.2089,-790.4856
854.5296,-763.3283
833.5466,-740.0244
808.1771,-721.5923
779.5296,-708.8376
748.8563,-702.3178
717.4978,-702.3178
686.8245,-708.8376
658.1771,-721.5923
632.8074,-740.0244
611.8245,-763.3283
596.1453,-790.4856
586.4549,-820.3093
583.1771,-851.4961
586.455,-882.6829
596.1453,-912.5066
611.8245,-939.6639
632.8075,-962.9678
658.1771,-981.3999
686.8245,-994.1545
717.4978,-1000.674
748.8564,-1000.674
779.5296,-994.1545
808.1771,-981.3999
833.5467,-962.9678
854.5297,-939.6638
